Plugin Type,Plugin Name,PluginName EN,Description EN,Description FA,Path
aiplacement,courseassist,Course Assistance Placement,Course assist AI placement - help build course content,دستیار دوره AI - کمک به ساخت محتوای دوره,ai/placement/courseassist
aiplacement,editor,HTML Text Editor Placement,Editor AI placement - AI inside TinyMCE editor - NEW 4.5,HTML Text Editor Placement,ai/placement/editor
aiprovider,azureai,Azure AI API Provider,Azure AI provider - Azure OpenAI,Azure AI API Provider,ai/provider/azureai
aiprovider,openai,OpenAI API Provider,OpenAI provider - ChatGPT / DALL-E,ارائه‌دهنده OpenAI - ChatGPT,ai/provider/openai
antivirus,clamav,ClamAV antivirus,ClamAV antivirus - scan uploaded files,ClamAV antivirus,lib/antivirus/clamav
availability,completion,Restriction by activity completion,Restriction by activity completion,Restriction by activity completion,availability/condition/completion
availability,date,Restriction by date,Restriction by date,Restriction by date,availability/condition/date
availability,grade,Restriction by grades,Restriction by grade,Restriction by grades,availability/condition/grade
availability,group,Restriction by group,Restriction by group,Restriction by group,availability/condition/group
availability,grouping,Restriction by grouping,Restriction by grouping,Restriction by grouping,availability/condition/grouping
availability,profile,Restriction by profile,Restriction by user profile,Restriction by profile,availability/condition/profile
qtype,calculated,Calculated,Calculated - numeric with wildcards,Calculated,question/type/calculated
qtype,calculatedmulti,Calculated multichoice,Calculated multichoice,Calculated multichoice,question/type/calculatedmulti
qtype,calculatedsimple,Calculated simple,Calculated simple,Calculated simple,question/type/calculatedsimple
qtype,ddimageortext,Drag and drop onto image,Drag and drop onto image or text,Drag and drop onto image,question/type/ddimageortext
qtype,ddmarker,Drag and drop markers,Drag and drop markers onto image,Drag and drop markers,question/type/ddmarker
qtype,ddwtos,Drag and drop into text,Drag and drop into text,Drag and drop into text,question/type/ddwtos
qtype,description,Description,"Description - informational text, not a question",Description,question/type/description
qtype,essay,Essay,Essay - free text with file upload,تشریحی - متن آزاد با آپلود فایل,question/type/essay
qtype,gapselect,Select missing words,Select missing words - dropdown in text,Select missing words,question/type/gapselect
qtype,match,Matching,Matching - match items,Matching,question/type/match
qtype,missingtype,Missing question type placeholder,Missing question type placeholder,Missing question type placeholder,question/type/missingtype
